@lat	@lon	railway:ref	name
50.0767294	14.8666360	530667	Český Brod
50.0646620	14.4478477	572768	Praha-Vršovice
50.4265504	14.2637508	542571	Roudnice nad Labem
50.1016717	15.1935841	533141	Velký Osek
50.6498817	14.0485712	532093	Ústí nad Labem-Střekov
50.6642849	14.0814307	531996	Ústí nad Labem sever
49.9494991	14.6779555	550061	Strančice
49.9974063	14.6640482	549865	Říčany
49.9705275	14.3996798	555367	Praha-Zbraslav
50.1122895	14.4974889	573162	Praha-Vysočany
50.0338963	14.5914024	549568	Praha-Uhříněves
50.1229753	14.5709721	547661	Praha-Satalice
49.9859071	14.3642264	532564	Praha-Radotín
50.0342236	14.4459764	571562	Praha-Krč
50.0969717	14.3995609	570663	Praha-Dejvice
50.6706571	14.1568211	557694	Povrly
49.7515904	13.3036809	748152	Plzeň-Křimice
49.8611416	12.7302990	749457	Planá u Mariánských Lázní
50.2625417	14.5174506	546861	Neratovice
50.2046250	14.5135623	547265	Měšice u Prahy
49.9569907	12.6945228	744052	Mariánské Lázně
50.0253511	15.2144986	534149	Kolín
50.8464371	14.2151573	556399	Dolní Žleb
50.3888608	14.4365745	543066	Dolní Beřkovice
49.9275426	14.2882035	532267	Dobřichovice
50.4913108	14.1494553	559096	Bohušovice nad Ohří
50.0822727	14.5981792	530162	Praha-Běchovice
50.1006911	14.5022882	571760	Praha-Libeň
50.0747548	14.7230354	530469	Úvaly
50.0023067	15.9459505	536730	Moravany
49.9949300	16.1083845	536938	Zámrsk
49.9937377	16.2232836	538132	Choceň
50.0002795	16.2838866	538439	Brandýs nad Orlicí
50.1502184	15.5021909	530600	Nové Město nad Cidlinou
50.1401053	15.2636622	530113	Dobšice nad Cidlinou
49.4820329	17.3374129	331421	Brodek u Přerova
50.0455637	15.7428026	546135	Pardubice-Rosice nad Labem
50.0631640	14.4067061	584862	Praha-Smíchov severní nástupiště
49.7436822	13.3877984	732750	Plzeň hlavní nádraží
50.3058334	14.6038574	545517	Byšice
49.2479639	15.7708281	354456	Okříšky
48.8585550	13.8207980	739425	Stožec
48.7899072	13.9534565	758920	Nová Pec
48.9244571	14.4495592	753525	Včelná
48.9270273	14.4440054	760926	Boršov nad Vltavou
48.9745823	14.4885748	732826	České Budějovice
49.2034876	13.8858159	750323	Strunkovice nad Volyňkou
49.1702226	13.8929163	750521	Volyně
49.3531406	14.7065955	736025	Planá nad Lužnicí
49.2114833	15.8844310	365551	Třebíč
49.2224600	16.0690360	362251	Studenec
49.2152628	15.8044570	344556	Krahulov
50.3236561	14.7013610	545319	Kropáčova Vrutice
50.3398199	14.8101816	544817	Chotětov
50.1901921	12.6247522	764654	Svatava
50.3850478	13.1963121	535195	Klášterec nad Ohří
49.1951245	15.8042871	769059	Stařeč
49.1495103	15.8258046	342956	Kojetice na Moravě
50.1599345	14.3984616	544668	Roztoky u Prahy
49.7766829	16.9430951	342824	Mohelnice
50.3118321	12.5187372	765255	Kraslice předměstí
50.2303850	12.8639839	745851	Karlovy Vary dolní nádraží
50.2019073	12.8375933	745653	Karlovy Vary-Březová
49.9566253	12.7849823	744458	Ovesné Kladruby
50.0182497	12.8220058	744854	Poutnov
50.1158921	12.8480910	743153	Krásný Jez
50.1514385	12.8486213	745356	Teplička u Karlových Varů
49.5292290	16.9578407	357756	Ptení
50.2189698	12.1834191	730150	Aš město
49.8154753	13.0468659	754457	Trpísty
50.3308170	12.5024460	765354	Kraslice
49.2446188	14.1086348	734129	Ražice
50.1954776	14.8428770	531145	Lysá nad Labem
50.5544122	13.7722997	548198	Bílina
49.5090733	17.0650384	343855	Kostelec na Hané
49.5134800	17.0967632	332924	Čelechovice na Hané
49.7131629	13.3368915	753152	Plzeň-Valcha
49.6166914	17.2239023	343921	Olomouc-Řepčín
50.0176820	17.0666720	348920	Sobotín
49.1188575	16.3466388	354852	Oslavany
49.8937635	13.3749579	751057	Kaznějov
49.7176152	12.7785392	765750	Bor
49.7298161	13.2846196	746750	Vejprnice
49.3993066	12.8683947	747956	Babylon
50.6092558	13.8784995	551390	Úpořiny
50.3612962	13.8232110	545996	Louny
49.4976070	13.6088141	739250	Nepomuk
49.3051688	13.7789330	761528	Střelské Hoštice
49.3913786	13.6203133	738955	Pačejov
49.2951753	13.4358261	736652	Kolinec
49.1111581	13.8291463	750927	Čkyně
48.9830197	13.7746457	751628	Kubova Huť
48.8102966	16.3832887	339259	Hrušovany nad Jevišovkou
48.7714983	14.1828673	759720	Hořice na Šumavě
48.7986248	14.1479747	759621	Polná na Šumavě
49.0208984	15.6571177	350850	Třebelovice
49.0158183	15.5815910	341859	Jemnice
49.7666971	15.9016053	548537	Hlinsko v Čechách
49.9013161	15.9108839	546937	Chrast u Chrudimi
50.6582066	14.0297497	531590	Ústí nad Labem západ
50.7958183	14.4138754	562991	Česká Kamenice
50.0609378	14.4081638	572263	Praha-Smíchov
49.4352397	12.9433034	735159	Domažlice
49.3457648	16.0218745	366856	Velké Meziříčí
49.9670777	14.0835110	760843	Beroun-Závodí
50.0893984	16.7209320	534602	Dolní Lipka
50.0263514	16.9013734	330720	Bohdíkov
49.9838417	16.8887974	348128	Ruda nad Moravou
50.6642471	14.1462671	560599	Velké Březno
48.7508152	16.8519292	356857	Poštorná
49.1131373	17.1614748	343657	Koryčany
50.5160992	14.7293918	568899	Bezděz
49.5873127	17.2443315	344028	Olomouc-Nová Ulice
49.5831629	17.0793796	334524	Drahanovice
49.9337962	17.4371250	352229	Valšov
49.8384396	17.3949224	333229	Dětřichov nad Bystřicí
49.7845282	17.4321821	343020	Moravský Beroun
49.6696651	17.4385553	337527	Hrubá Voda
49.6475954	17.4084865	335927	Hlubočky
50.1242713	12.3553676	740050	Františkovy Lázně
50.1861476	12.6444602	764555	Sokolov
50.2356364	12.8670454	758755	Karlovy Vary
50.5272737	14.6744460	568790	Okna
48.6340082	14.2440290	748129	Lipno nad Vltavou
49.0650593	14.3622816	733121	Zliv
49.0324707	14.4201410	733022	Hluboká nad Vltavou
50.4566745	13.3991122	534891	Chomutov
50.3958692	13.4210638	537191	Březno u Chomutova
49.9011907	18.0940855	334243	Háj ve Slezsku
49.9009258	18.1943670	335042	Hlučín
49.9887954	18.1131825	335943	Chuchelná
49.9385285	17.8886962	342345	Opava západ
50.0889848	17.6832900	339044	Krnov
50.0521122	17.6117847	331223	Brantice
50.0142906	17.5576211	342527	Milotice nad Opavou
49.8775941	17.8759645	335745	Hradec nad Moravicí
50.0712411	17.0864992	339622	Loučná nad Desnou
50.0886293	17.0911418	339721	Loučná nad Desnou-Rejhotice
50.0988743	17.1044631	339523	Kouty nad Desnou
49.9056690	15.4607290	554840	Skovice
49.8720293	15.5762511	554139	Třemošnice
50.2218333	15.8596814	531400	Hradec Králové-Slezské Předměstí
50.1548444	16.0736745	531806	Týniště nad Orlicí
50.0648063	16.1358466	540708	Čermná nad Orlicí
50.0318287	16.1788815	540807	Újezd u Chocně
49.5348823	15.3481891	558130	Humpolec
50.3339955	15.2605461	563007	Kopidlno
49.1064061	14.3011145	733329	Dívčice
49.1956571	14.3465591	740324	Temelín
50.0470959	16.7464801	535203	Červená Voda
49.0192726	15.1110196	744623	Nová Bystřice
49.0453295	15.1583741	744425	Hůrky
49.0660241	15.1577778	744326	Senotín
49.1120656	15.1628042	744128	Kunžak-Lomy
49.1342471	15.1348486	744029	Střížovice
50.1836480	17.0507990	344721	Ostružná
50.2788227	17.2599592	345629	Písečná
50.3024303	17.3201585	342329	Mikulovice
50.3623579	17.1268978	337725	Velká Kraš
50.2548305	12.8865371	734459	Dalovice
50.5869984	16.0847731	573402	Janovice u Trutnova
50.6154550	16.1242687	573501	Adršpach
50.6677103	15.1000366	542720	Hodkovice nad Mohelkou
49.0361323	17.7953879	331850	Bojkovice
49.0962910	17.9261740	331454	Bohuslavice nad Vláří
50.0735014	12.3807500	750356	Cheb
49.0676430	18.0138828	335356	Bylnice
50.7402006	15.2438627	550228	Smržovka
49.3572172	15.4821290	758409	Kostelec u Jihlavy
49.3111787	15.3245682	758029	Horní Cerekev
49.0859835	15.4392042	748822	Dačice
50.2849557	14.0782171	537563	Zlonice
50.1280672	14.1134892	535161	Kladno
49.2129350	14.2106485	733824	Protivín
49.9134627	17.3828726	332320	Břidličná
50.0373155	17.5159887	342626	Kunov
50.0666027	17.4734536	354027	Široká Niva
49.7752835	17.1846300	351221	Újezd u Uničova
50.1284958	16.1735483	532002	Častolovice
50.4262590	15.5772519	564807	Lázně Bělohrad
50.6043389	15.5138460	571604	Jilemnice
50.6233377	15.5014461	571901	Hrabačov
50.5268403	15.3740069	557801	Lomnice nad Popelkou
49.6981538	15.2700598	561951	Ledeč nad Sázavou
49.4417394	14.3778402	755520	Milevsko
49.1451243	14.1800109	737627	Vodňany
49.1263901	14.0839587	737924	Bavorov
50.1175906	16.2823290	541607	Vamberk
49.1719093	15.0330918	744722	Horní Skrýchov
49.3048039	15.0428903	745620	Včelnička
49.3417089	14.9842910	745828	Chválkov
49.3869069	14.9385029	746123	Křeč
49.7136349	17.7580219	341743	Heřmánky
49.7991735	17.6676603	330944	Svatoňovice
50.2235439	17.6087171	349142	Liptaň
50.2121456	17.6835168	343541	Slezské Rudoltice
50.2682098	17.7224544	342949	Osoblaha
50.3533665	14.4918092	530188	Mělník
49.7372102	13.3745841	752956	Plzeň zastávka
48.8292305	13.7937424	739524	Nové Údolí
49.9175544	17.9582417	342048	Opava-Komárov
49.7853825	13.4976463	732453	Chrást u Plzně
49.5812151	13.5313423	739557	Blovice
48.8504082	14.3514248	760223	Zlatá Koruna
49.4144538	15.5990365	342154	Jihlava
49.5507871	13.5739456	739458	Ždírec u Plzně
49.2693973	13.8234401	761320	Katovice
49.2515434	14.0158684	734327	Čejetice
48.6018001	14.4219480	752220	Horní Dvořiště
49.9031404	12.9695598	755157	Bezdružice
48.8130150	14.2654059	759928	Kájov
49.3056882	15.7492420	332551	Bransouze
49.3695794	15.7099496	347856	Luka nad Jihlavou
49.3174835	15.3982382	758201	Batelov
48.7427481	14.0868927	759225	Černá v Pošumaví
49.5336822	17.3054291	334821	Grygov
50.4305040	15.3612725	554204	Jičín
49.9129688	18.0057730	348540	Štítina
49.4457951	14.5988690	755025	Balkova Lhota
50.0182283	17.7771158	346643	Skrochovice
49.4437151	13.7900937	747022	Lnáře
49.4569092	13.7442156	746834	Kasejovice
50.0841721	14.3121812	572065	Praha-Ruzyně
48.7751404	14.4688272	752725	Kaplice
50.2546128	12.5582596	765057	Oloví
50.2870409	12.5354560	765156	Rotava
49.8312973	12.9812987	754655	Cebiv
49.9466871	12.7426745	744250	Vlkovice
50.0697080	15.9926572	555136	Holice
48.7994496	14.1203132	759522	Polečnice
48.9046261	14.3314086	760629	Křemže
49.0201601	13.7355975	751420	Lipka
49.0928349	13.8008633	751123	Bohumilice v Čechách
49.1605386	14.2743173	739920	Záboří u Číčenic
49.8048269	17.0763989	350025	Troubelice
49.9756381	12.8599577	744656	Teplá
49.8422238	18.1956843	344440	Ostrava-Třebovice
49.9230243	18.1195485	333047	Dolní Benešov
49.9939917	17.4742764	331629	Bruntál
49.9713649	16.3779821	538637	Ústí nad Orlicí
50.0897220	15.0275990	531160	Pečky
50.0676410	15.1247845	531566	Velim
49.9618569	15.3003929	540146	Kutná Hora hlavní nádraží
49.8786116	17.0622520	339820	Libina
49.9458865	17.0344445	343525	Nový Malín
50.4526776	14.3616386	542878	Hněvice
50.0942799	14.2117128	536367	Jeneč
49.2641031	14.1317394	756627	Putim
50.0322548	14.3094920	549261	Praha-Řeporyje
50.5729651	14.0363955	558197	Prackovice nad Labem
49.3709848	17.6317240	335950	Hlinsko pod Hostýnem
49.1549756	15.0056269	007013	Jindřichův Hradec - místní nádraží
50.2093124	12.2009150	730051	Aš
49.7885105	13.0905552	754259	Pňovany
49.5928838	17.2782973	343624	Olomouc hlavní nádraží
50.9569277	14.5507669	564591	Rumburk
50.1043434	15.7576103	568907	Stéblová
49.4289295	14.9534616	746321	Obrataň
50.0719525	16.9294869	335422	Hanušovice
49.6769427	16.7451680	340372	Chornice
49.9101406	16.9230287	355123	Postřelmov
49.9619376	16.9831313	349720	Šumperk
49.8506705	18.2670720	343640	Ostrava hl.n.
