SR70;Èíslo;Tarifní název;Název 35;Název 20;Název 12;Název 7;Název 3;Zkratka;Km poloha;Kvalifikátor;Kvalifikátor-Popis;Stav;Stav-Popis;Obsazení;TUDU;DDR;DDR-Popis;OOØ;PO;PO-Popis;OØ;OØ-Popis;Vlastník;Provozovatel;Kraj;Kraj-Popis;JTSK Y;JTSK X;GPS X;GPS Y;Dopr. uzel;
541516;54151600;-;Libìchov (PRACOVNÍ NÁZEV);Libìchov z;-;-;-;-;378,422;61;Zastávka;2;Evidován;9;-;-;-;100552;100131;Dìèín;313007;Ústí nad Labem;Stát;SDC;0;nezadanı;0;0;"E  °00'00,   """;"N  °00'00,   """;;-1
500512;50051200;-;-;hi vl. v km 1,980;-;-;-;-;1,928;90;Hranice infrastruktur;1;Aktivní;9;0751F1;-;-;0;100479;Ústí nad Labem;313007;Ústí nad Labem;266/94Sb§3;AD;420;Ústeckı;0;0;"E  °00'00,   """;"N  °00'00,   """;;-1
373415;37341500;1. TK albrechtická;1. TK albrechtická;1.TK albrechtická;-;-;-;-;4,479;95;Trasovací bod TUDU, SENA;1;Aktivní;9;25212A;-;-;100560;100107;Èeskı Tìšín;316000;Ostrava;Stát;SDC;810;Moravskoslezskı;-448408,629;-1109604,375;"E18°35'56,949""";"N49°46'48,550""";;-1
373423;37342300;2. TK loucká;2. TK loucká;2.TK loucká;-;-;-;-;323,748;95;Trasovací bod TUDU, SENA;1;Aktivní;9;-;-;-;100560;100107;Èeskı Tìšín;316000;Ostrava;Stát;SDC;810;Moravskoslezskı;-448407,478;-1109576,966;"E18°35'56,895""";"N49°46'49,437""";;-1
330159;33015900;Adamov;Adamov;Adamov;ADAMOV;ADAMOV;ADV;ADV;171,191;1;Stanice (z pøepravního hlediska blíe neurèená);1;Aktivní;1;2002D1;-;-;100560;100057;Brno;315002;Brno;Stát;SDC;640;Jihomoravskı;-592971,273;-1150093,486;"E16°39'47,514""";"N49°17'43,495""";;-1
330258;33025800;Adamov zastávka;Adamov zastávka;Adamov zast. z;ADAMOV Z.;ADAMOVZ;-;-;172,52;61;Zastávka;1;Aktivní;9;200208;-;-;100560;100057;Brno;315002;Brno;Stát;SDC;640;Jihomoravskı;-593984,419;-1149248,9;"E16°38'53,182""";"N49°18'07,175""";;-1
573501;57350100;Adršpach;Adršpach;Adršpach;ADRSPACH;ADRSPCH;-;-;24,721;3;Dopravna D3;1;Aktivní;9;1,47E+04;-;-;100545;100172;Hradec Králové;314005;Hradec Králové;Stát;SDC;520;Královehradeckı;-615217,99;-999904,134;"E16°07'27,294""";"N50°36'55,62 """;;-1
548057;54805700;AHr Km 11,485;AHr Km 11,485;AHr Km 11,485;Km 11,485;-;-;-;11,485;35;Automatické hradlo;1;Aktivní;9;119216;-;-;100545;100222;Kolín;311001;Praha;Stát;SDC;210;Støedoèeskı;-719943,074;-1039479,853;"E14°43'53,291""";"N50°08'47,580""";;-1
582189;58218900;AHR Rašovice;AHR Rašovice;AHr Rašovice;AHR Rašovice;-;-;-;53,786;35;Automatické hradlo;1;Aktivní;9;-;-;-;100545;100172;Hradec Králové;314005;Hradec Králové;Stát;SDC;520;Královehradeckı;-621566;-1052956,5;"E16°07'13,726""";"N50°08'06,486""";;-1
582692;58269200;AHr Soutìska;AHr Soutìska;AHr Soutìska;SOUTESKA HR.;SOUTEHR;-;-;8,071;35;Automatické hradlo;1;Aktivní;9;86104;-;-;100552;100131;Dìèín;313007;Ústí nad Labem;Stát;SDC;420;Ústeckı;-744045,444;-968670,105;"E14°15'37,167""";"N50°44'52,707""";;-1
