SR70;Tarifní název;NÁZEV35;NÁZEV20;NÁZEV12;NÁZEV7;NÁZEV3;ZKRATKA;Km poloha;Kvalifikátor;Kvalifikátor-Popis;Stav;Stav-Popis;Obsazení;TUDU;DDR;DDR-Popis;OOØ;PO;P0-Popis;OØ;OØ-Popis;Vlastník;Provozovatel;Kraj;Kraj-Popis;JTSK Y;JTSK X;GPS X;GPS Y;Dopr. uzel;Název ZDD;Podmínky ISC-Kod;Podmínky ISC-Popis
3012;Milotice nad Opavou-AWT;Milotice nad Opavou-AWT;Milotice n.Op.-AWT;MIL/OP-AWT;MIPOKDD;-;-;73,260;1;Stanice (z pøepravního hlediska blíe neurèená);4;Zrušen;8;-;-;-;0;Neurèenı;Neurèenı;-;nezadaná;Stát;PKPCI;810;Moravskoslezskı;-520668,022;-1077060,896;"E17°33'26,802""";"N50°'51,578""";;Milotice nad Opavou-AWT;1;Plné informování
3020;Šumperk-SART;Šumperk-SART;Šumperk-SART;SUMPERK SART;SumpZUD;-;-;43,807;1;Stanice (z pøepravního hlediska blíe neurèená);4;Zrušen;8;-;-;-;0;Neurèenı;Neurèenı;-;nezadaná;Desná;SART;710;Olomouckı;-562247,222;-1078798,175;"E16°58'58,364""";"N49°57'42,731""";;Šumperk-SART;1;Plné informování
5017;Trutnov hlavní nádraí-PDV RAILWAY;Trutnov hlavní nádraí-PDV RAILWAY;Trutnov hl.n.-PDV R.;TRUTNOV HL.N;TRUTNHN;-;-;124,765;1;Stanice (z pøepravního hlediska blíe neurèená);4;Zrušen;8;-;-;-;0;Neurèenı;Neurèenı;-;nezadaná;Stát;PDV;520;Královehradeckı;-630866,587;-1003711,7;"E15°54'39,411""";"N50°33'54,902""";;Trutnov hlavní nádraí-PDV RAILWAY;1;Plné informování
5041;Èeská Kamenice-KC;Èeská Kamenice-KC;È.Kamenice-KC;C.KAMENICE;CESKAMC;CKE;-;24,959;1;Stanice (z pøepravního hlediska blíe neurèená);4;Zrušen;8;-;-;-;0;Neurèenı;Neurèenı;-;nezadaná;Stát;KPL;420;Ústeckı;-732575,487;-964885,958;"E14°24'50,447""";"N50°47'45,007""";;Èeská Kamenice-KC;1;Plné informování
7013;Jindøichùv Hradec-JHMD;Jindøichùv Hradec-JHMD;Jindø.Hradec JHMD;J.HRAD.-JHMD;JHRJHMD;-;-;?;1;Stanice (z pøepravního hlediska blíe neurèená);1;Aktivní;8;'1801FC';-;-;0;Neurèenı;Neurèenı;-;nezadaná;JHMD;JHMD;310;Jihoèeskı;-714730,99;-1151401,819;"E15°'18,646""";"N49°9'17,559""";;Jindøichùv Hradec-JHMD;1;Plné informování
7021;Obrataò-JHMD;Obrataò-JHMD;Obrataò;OBRATAN;OBRATAN;-;-;45,975;3;Dopravna D3;1;Aktivní;8;'1851HA';743625;Jindøichùv Hradec;0;Neurèenı;Neurèenı;-;nezadaná;JHMD;JHMD;630;Vysoèina;-714511,065;-1120726,656;"E14°57'13,687""";"N49°25'43,203""";;Obrataò-JHMD;;
7047;Sokolov-PDV RAILWAY;Sokolov-PDV RAILWAY;Sokolov-PDV RAILWAY;SOKOLOV-PDVR;SOKPDVR;-;-;208,154;1;Stanice (z pøepravního hlediska blíe neurèená);4;Zrušen;8;-;-;-;0;Neurèenı;Neurèenı;-;nezadaná;Stát;PDV;410;Karlovarskı;-866787,663;-1013356,835;"E12°38'40,517""";"N50°11'9,903""";;Sokolov-PDV RAILWAY;1;Plné informování
300004;hr. infr. Albrechtice u È. Tìšína;hr. infr. Albrechtice u È. Tìšína;hi Albrechtice;-;hiAlbre;-;-;10,462;90;Hranice infrastruktur;1;Aktivní;9;'2521B1';-;-;100560;100107;Èeskı Tìšín;316000;Ostrava;Stát;S;810;Moravskoslezskı;-453389,19;-1107782,198;"E18°31'41,380""";"N49°47'34,148""";;;;
300012;hr. infr. Bohumín pøednádraí;hr. infr. Bohumín pøednádraí;hi Bohumín pøedn.;-;hiBiPre;-;-;348,667;90;Hranice infrastruktur;1;Aktivní;9;-;-;-;100560;100107;Èeskı Tìšín;316000;Ostrava;Stát;S;810;Moravskoslezskı;-465824,404;-1095939,584;"E18°20'31,720""";"N49°53'22,486""";;;;
300020;hr. infr. Havíøov;hr. infr. Havíøov;hi Havíøov;-;hiHavir;-;-;18,342;90;Hranice infrastruktur;1;Aktivní;9;-;-;-;100560;100107;Èeskı Tìšín;316000;Ostrava;Stát;S;810;Moravskoslezskı;-460943,101;-1107113,194;"E18°25'22,204""";"N49°47'35,427""";;;;
300038;hr. infr. Louky nad Olší;hr. infr. Louky nad Olší;hi Louky n.O.;-;hiLouky;-;-;327,700;90;Hranice infrastruktur;1;Aktivní;9;-;-;-;100560;100107;Èeskı Tìšín;316000;Ostrava;Stát;S;810;Moravskoslezskı;-450411,256;-1106112,066;"E18°34'2,907""";"N49°48'35,904""";;;;
300046;hr. infr. Ostrava støed;hr. infr. Ostrava støed;hi Ostrava støed;-;hiOaStr;-;-;2,849;90;Hranice infrastruktur;1;Aktivní;9;'2132C1';-;-;100560;100354;Ostrava;316000;Ostrava;Stát;S;810;Moravskoslezskı;-470610,399;-1102153,553;"E18°16'59,445""";"N49°49'48,920""";;;;
300053;hr. infr. Paskov;hr. infr. Paskov;hi Paskov;-;hiPasko;-;-;15,111;90;Hranice infrastruktur;1;Aktivní;9;'2132F1';-;-;100560;100107;Èeskı Tìšín;316000;Ostrava;Stát;S;810;Moravskoslezskı;-470034,739;-1113464,537;"E18°18'16,387""";"N49°43'45,767""";;;;
300061;hr. infr. Tøinec-Konská;hr. infr. Tøinec-Konská;hi Tøinec-Konská;-;hiTrinK;-;-;313,381;90;Hranice infrastruktur;1;Aktivní;9;'2501NA';-;-;100560;100107;Èeskı Tìšín;316000;Ostrava;Stát;S;810;Moravskoslezskı;-445729,031;-1119047,784;"E18°38'48,528""";"N49°41'50,917""";;;;
300079;hr. infr. Vratimov;hr. infr. Vratimov;hi Vratimov;-;hiVrati;-;-;10,768;90;Hranice infrastruktur;1;Aktivní;9;-;-;-;100560;100107;Èeskı Tìšín;316000;Ostrava;Stát;S;810;Moravskoslezskı;-469465,833;-1109598,178;"E18°18'28,252""";"N49°45'52,023""";;;;
300087;hr. infr. Šumperk - Desná;hr. infr. Šumperk - Desná;hi Šumperk Desná;-;hiSumpD;-;-;13,475;90;Hranice infrastruktur;1;Aktivní;9;'194102';-;-;100560;100339;Olomouc;316000;Ostrava;Stát;S;710;Olomouckı;-561395,919;-1078705,627;"E16°59'40,377""";"N49°57'48,534""";;;;
300095;hr. infr. Milotice nad Opavou;hr. infr. Milotice nad Opavou;hi Milotice nad Op.;-;hiMil/O;-;-;73,097;90;Hranice infrastruktur;1;Aktivní;9;'224110';-;-;100560;100354;Ostrava;316000;Ostrava;Stát;S;810;Moravskoslezskı;-520820,076;-1077142,182;"E17°33'19,587""";"N50°'48,492""";;;;
300111;hi Ostrava-Kunèice;hi Ostrava-Kunèice;hi Ostrava-Kunèice;hi Ova-Kunèi;-;-;-;8,218;90;Hranice infrastruktur;1;Aktivní;9;-;-;-;100560;100354;Ostrava;316000;Ostrava;Stát;S;810;Moravskoslezskı;-469834,127;-1104717,705;"E18°17'49,117""";"N49°48'28,396""";;;;
300145;Èeskı Tìšín státní hranice;Èeskı Tìšín st.hr.;Èeskı Tìšín st.hr.;C.TESIN ST.H;CTESSH;-;-;139,112;91;Státní hranice;1;Aktivní;9;'253202';-;-;100560;100107;Èeskı Tìšín;316000;Ostrava;Stát;S;810;Moravskoslezskı;-447254,611;-1112827,252;"E18°37'7,524""";"N49°45'7,620""";;Èeskı Tìšín st. hr.;;
300244;Bohumín státní hranice;Bohumín st.hr.;Bohumín st.hr.;BOHUMIN ST.H;BOHSTHR;-;BHM SH;279,628;91;Státní hranice;1;Aktivní;9;'190402';-;-;100560;100107;Èeskı Tìšín;316000;Ostrava;Stát;S;810;Moravskoslezskı;-466968,4;-1092852,449;"E18°19'21,482""";"N49°54'58,899""";;Bohumín st. hr.;;
300251;Bohumín-Vrbice státní hranice;Bohumín-Vrbice st.hr.;Bohumín-Vrbice st.hr;BOHVRB st.h.;BiVrst.;-;-;4,279;91;Státní hranice;1;Aktivní;9;'190602';-;-;100560;100107;Èeskı Tìšín;316000;Ostrava;Stát;S;810;Moravskoslezskı;-466973,1;-1092856,3;"E18°19'21,264""";"N49°54'58,762""";;Bohumín-Vrbice st. hr.;;
300343;Petrovice u Karviné státní hranice;Petrovice u Karviné st.hr.;Petrovice u K.st.hr.;PETROVI.ST.H;PETUKSH;-;-;292,602;91;Státní hranice;1;Aktivní;9;'189138';-;-;100560;100107;Èeskı Tìšín;316000;Ostrava;Stát;S;810;Moravskoslezskı;-449541,092;-1097870,031;"E18°34'12,637""";"N49°53'4,087""";;Petrovice u Karviné st. hr.;;
300426;Mikulovice státní hranice;Mikulovice st.hr.;Mikulovice st.hr.;MIKULOV.ST.H;MKULCSH;-;-;51,500;91;Státní hranice;1;Aktivní;9;'136322';-;-;100560;100339;Olomouc;316000;Ostrava;Stát;S;710;Olomouckı;-532036,284;-1043208,842;"E17°21'12,554""";"N50°18'26,614""";;Mikulovice st. hr.;;
300558;Bøeclav státní hranice;Bøeclav st.hr.;Bøeclav st.hr.;BRECLAV ST.H;BRECLSH;-;BCV SH;77,992;91;Státní hranice;1;Aktivní;9;'240102';-;-;100560;100040;Bøeclav;315002;Brno;Stát;S;640;Jihomoravskı;-584876,027;-1216130,649;"E16°52'6,216""";"N48°42'45,134""";;Bøeclav st. hr.;;
300657;Znojmo státní hranice;Znojmo st.hr.;Znojmo st.hr.;ZNOJM ST.HR.;ZNOJSH;-;-;87,660;91;Státní hranice;1;Aktivní;9;'120102';-;-;100560;100040;Bøeclav;315002;Brno;Stát;S;640;Jihomoravskı;-646539,316;-1202491,629;"E16°0'52,698""";"N48°46'25,109""";;Znojmo st. hr.;;
300756;Velká nad Velièkou státní hranice;Velká nad Velièkou st.hr.;Velká n.Vel.st.hr.;VEL./V.ST.H.;VELNVSH;-;-;44,685;91;Státní hranice;1;Aktivní;9;'279118';-;-;100560;100040;Bøeclav;315002;Brno;Stát;S;640;Jihomoravskı;-536004,373;-1207980,386;"E17°31'8,129""";"N48°49'45,582""";;Velká nad Velièkou st. hr.;;
300848;Mosty u Jablunkova státní hranice;Mosty u Jablunkova st.hr.;Mosty u Jabl.st.hr.;MOST.U J.S.H;MSTUJSH;-;-;286,534;91;Státní hranice;1;Aktivní;9;'250110';-;-;100560;100107;Èeskı Tìšín;316000;Ostrava;Stát;S;810;Moravskoslezskı;-439071,597;-1142240,183;"E18°45'51,356""";"N49°29'39,869""";;Mosty u Jablunkova st. hr.;;
300921;Horní Lideè státní hranice;Horní Lideè st.hr.;Horní Lideè st.hr.;H.LIDEC ST.H;HLIDCSH;-;-;21,110;91;Státní hranice;1;Aktivní;9;'236306';-;-;100560;100487;Valašské Meziøíèí;316000;Ostrava;Stát;S;720;Zlínskı;-487840,891;-1173251,22;"E18°7'51,861""";"N49°10'47,902""";;Horní Lideè st. hr.;;
301051;Vlárskı prùsmyk státní hranice;Vlárskı prùsmyk st.hr.;Vlár.prùsmyk st.hr.;VLAR.PR.ST.H;VLPRSSH;-;-;163,500;91;Státní hranice;1;Aktivní;9;'230256';-;-;100560;100487;Valašské Meziøíèí;316000;Ostrava;Stát;S;720;Zlínskı;-494695,649;-1189548,086;"E18°3'25,883""";"N49°1'42,833""";;Vlárskı prùsmyk st. hr.;;
301259;Sudomìøice nad Moravou státní hranice;Sudomìøice nad Moravou st.hr.;Sudomìø.n.M.st.hr.;SUDOMER.ST.H;SUDOMSH;-;-;14,950;91;Státní hranice;1;Aktivní;9;'239106';-;-;100560;100040;Bøeclav;315002;Brno;Stát;S;640;Jihomoravskı;-556018,148;-1201664,103;"E17°14'20,839""";"N48°52'6,016""";;Sudomìøice nad Moravou st. hr.;;
301358;Hodonín státní hranice;Hodonín st.hr.;Hodonín st.hr.;HODONIN ST.H;HODONSH;-;-;3,009;91;Státní hranice;1;Aktivní;9;'245204';-;-;100560;100040;Bøeclav;315002;Brno;Stát;S;640;Jihomoravskı;-564549,979;-1204309,689;"E17°7'37,340""";"N48°50'13,190""";;Hodonín st. hr.;;
301457;Lanhot státní hranice;Lanhot st.hr.;Lanhot st.hr.;LANZHOT ST.H;LANZHSH;-;LAN SH;11,475;91;Státní hranice;1;Aktivní;9;'280104';-;-;100560;100040;Bøeclav;315002;Brno;Stát;S;640;Jihomoravskı;-575247,211;-1217281,333;"E17°',563""";"N48°42'40,249""";;Lanhot st. hr.;;
301549;Jindøichov ve Slezsku státní hranice;Jindøichov ve Slezsku st.hr.;Jindø.ve Sl.st.hr.;JINDR.V.S.SH;JINVSSH;-;-;25,694;91;Státní hranice;1;Aktivní;9;'225310';-;-;100560;100354;Ostrava;316000;Ostrava;Stát;S;810;Moravskoslezskı;-521659,525;-1047867,563;"E17°30'16,996""";"N50°16'29,009""";;Jindøichov ve Slezsku st. hr.;;
301648;Veøòovice státní hranice/Gorzycki gr. PKP;Veøòovice státní hranice/Gorzycki g;Veøòovice státní hra;-;-;-;-;?;65;Zastávka náhradní autobusové dopravy;1;Aktivní;9;-;-;-;0;Neurèenı;Neurèenı;-;nezadaná;ÈD;ÈD;810;Moravskoslezskı;-460859,9;-1091227,2;"E18°24'19,746""";"N49°56'7,996""";;Veøòovice st. hr./Gorzycki gr. PKP;;
309005;Glucholazy;Glucholazy;Glucholazy;-;GLU_ZY;-;-;?;1;Stanice (z pøepravního hlediska blíe neurèená);4;Zrušen;9;-;-;-;0;100339;Olomouc;-;nezadaná;266/94Sb§3;266/94Sb§3;710;Olomouckı;-526483,492;-1042901,963;"E17°25'50,312""";"N50°18'53,930""";;;1;Plné informování
309013;Cieszyn;Cieszyn;Cieszyn;Cieszyn;Cieszyn;-;-;?;1;Stanice (z pøepravního hlediska blíe neurèená);4;Zrušen;9;-;-;-;0;Neurèenı;Neurèenı;-;nezadaná;266/94Sb§3;ÈD;0;nezadanı;-445955,611;-1113042,852;"E18°38'13,074""";"N49°45'4,068""";;;0;Bez nástupiš
310003;Novı Jièín (BUS);Novı Jièín (BUS);N. Jièín (BUS);-;-;-;-;?;65;Zastávka náhradní autobusové dopravy;1;Aktivní;9;-;-;-;0;Neurèenı;Neurèenı;-;nezadaná;ÈD;ÈD;810;Moravskoslezskı;-491948,4;-1126922,8;"E18°1'6,259""";"N49°35'30,023""";;;;
310011;Pøíbor (BUS);Pøíbor (BUS);Pøíbor (BUS);-;-;-;-;?;65;Zastávka náhradní autobusové dopravy;1;Aktivní;9;-;-;-;0;Neurèenı;Neurèenı;-;nezadaná;ÈD;ÈD;810;Moravskoslezskı;-482607,9;-1122848,3;"E18°8'31,860""";"N49°38'8,045""";;;;
