Evidenèní èíslo;Název;Cizojazyènı název;Název 35;Název 20;Název 12;Název 7;Název 6;Název 3;Název ISC;Název ZDD;Kvalifikátor;Kvalifikátor - popis;Stav;Stav - popis;Km poloha;TUDU;TTP;Km polohy další;TUDU další;TTP další;X [S-JTSK (-Y)];Y [S-JTSK (-X)];GPS N (DMS);GPS E (DMS);GPS N (DEG);GPS E (DEG);Nadmoøská vıška (Bpv);VÚSC;VÚSC - popis;Vlastník;Provozovatel;Provozní obvod;Provozní obvod - popis;Oblastní øeditelství;Oblastní øeditelství - popis;Operativní øízení;Operativní øízení - popis;Dopravní uzel;Dopravní uzel - popis;Dálkové øízení;Dálkové øízení - popis
3012;Milotice nad Opavou-AWT;-;Milotice nad Opavou-AWT;Milotice n.Op.-AWT;MIL/OP-AWT;MIPOKDD;-;-;-;Milotice nad Opavou-AWT;1;eleznièní stanice;4;Zrušen;73,26;-;-;-;-;-;-520668,022;-1077060,896;"N50°00'51,578""";"E17°33'26,802""";N50,014327°;E17,557445°;0;810;Moravskoslezskı kraj;Stát;PKPCI;0;-;0;-;0;-;;;-;-
3020;Šumperk-SART;-;Šumperk-SART;Šumperk-SART;SUMPERK SART;SumpZUD;-;-;-;Šumperk-SART;1;eleznièní stanice;4;Zrušen;43,807;-;-;-;-;-;-562247,222;-1078798,175;"N49°57'42,731""";"E16°58'58,364""";N49,961870°;E16,982879°;0;710;Olomouckı kraj;Desná;SART;0;-;0;-;0;-;;;-;-
5017;Trutnov hlavní nádraí-PDV RAILWAY;-;Trutnov hlavní nádraí-PDV RAILWAY;Trutnov hl.n.-PDV R.;TRUTNOV HL.N;TRUTNHN;-;-;-;Trutnov hlavní nádraí-PDV RAILWAY;1;eleznièní stanice;4;Zrušen;124,765;-;-;-;-;-;-630866,587;-1003711,7;"N50°33'54,902""";"E15°54'39,411""";N50,565251°;E15,910948°;0;520;Královehradeckı kraj;Stát;PDV;0;-;0;-;0;-;;;-;-
5041;Èeská Kamenice-KC;-;Èeská Kamenice-KC;È.Kamenice-KC;C.KAMENICE;CESKAMC;-;CKE;-;Èeská Kamenice-KC;1;eleznièní stanice;4;Zrušen;24,959;-;-;-;-;-;-732575,487;-964885,958;"N50°47'45,007""";"E14°24'50,447""";N50,795835°;E14,414013°;0;420;Ústeckı kraj;Stát;KPL;0;-;0;-;0;-;;;-;-
7013;Jindøichùv Hradec-JHMD;-;Jindøichùv Hradec-JHMD;Jindø.Hradec JHMD;J.HRAD.-JHMD;JHRJHMD;-;-;Jindøich.Hradec-JHMD;Jindøichùv Hradec-JHMD;1;eleznièní stanice;1;Aktivní;0;1801FC;-;-;-;-;-714730,99;-1151401,819;"N49°09'17,559""";"E15°00'18,646""";N49,154878°;E15,005179°;0;310;Jihoèeskı kraj;JHMD;SUD;0;-;0;-;0;-;;;-;-
7021;Obrataò-JHMD;-;Obrataò-JHMD;Obrataò;OBRATAN;OBRATAN;-;-;Obrataò-JHMD;Obrataò-JHMD;3;Dopravna D3;1;Aktivní;45,975;1851HA;-;-;-;-;-714511,065;-1120726,656;"N49°25'43,203""";"E14°57'13,687""";N49,428668°;E14,953802°;0;630;Kraj Vysoèina;JHMD;SUD;0;-;0;-;0;-;;;743625;Jindøichùv Hradec
7047;Sokolov-PDV RAILWAY;-;Sokolov-PDV RAILWAY;Sokolov-PDV RAILWAY;SOKOLOV-PDVR;SOKPDVR;-;-;-;Sokolov-PDV RAILWAY;1;eleznièní stanice;4;Zrušen;208,154;-;-;-;-;-;-866787,663;-1013356,835;"N50°11'09,903""";"E12°38'40,517""";N50,186084°;E12,644588°;0;410;Karlovarskı kraj;Stát;PDV;0;-;0;-;0;-;;;-;-
300004;hr. infr. Albrechtice u È. Tìšína;-;hr. infr. Albrechtice u È. Tìšína;hi Albrechtice;-;hiAlbre;-;-;-;-;90;Hranice infrastruktur;1;Aktivní;10,462;2521B1;-;-;-;-;-453389,19;-1107782,198;"N49°47'34,148""";"E18°31'41,380""";N49,792819°;E18,528161°;0;810;Moravskoslezskı kraj;Stát;S;100107;Èeskı Tìšín;316000;Ostrava;100601;CDP Pøerov;833012;Albrechtice u Èeského Tìšína;-;-
300012;hr. infr. Bohumín pøednádraí;-;hr. infr. Bohumín pøednádraí;hi Bohumín pøedn.;-;hiBiPre;-;-;-;-;90;Hranice infrastruktur;1;Aktivní;348,667;190504;-;-;-;-;-465794,113;-1095897,39;"N49°53'23,949""";"E18°20'33,083""";N49,889986°;E18,342523°;202,091;810;Moravskoslezskı kraj;Stát;S;100107;Èeskı Tìšín;316000;Ostrava;100601;CDP Pøerov;834127;Bohumín;-;-
300020;hr. infr. Havíøov;-;hr. infr. Havíøov;hi Havíøov;-;hiHavir;-;-;-;-;90;Hranice infrastruktur;1;Aktivní;18,342;2521CA;-;-;-;-;-460943,101;-1107113,194;"N49°47'35,427""";"E18°25'22,204""";N49,793174°;E18,422834°;0;810;Moravskoslezskı kraj;Stát;S;100107;Èeskı Tìšín;316000;Ostrava;100601;CDP Pøerov;833459;Havíøov;-;-
