@lat	@lon	railway:ref	name
48.6017966	14.4219400	752220	Horní Dvořiště
48.6190692	14.3491496	747527	Herbertov
48.6195421	14.3216203	747626	Těchoraz
48.6206407	14.2566040	747923	Loučovice
48.6239410	14.3086780	747725	Vyšší Brod klášter
48.6244369	14.2453076	748020	Loučovice zastávka
48.6263864	14.3628856	747428	Rožmberk nad Vltavou
48.6340312	14.2440397	748129	Lipno nad Vltavou
48.6442799	14.2861408	747824	Čertova Stěna
48.6495664	14.4316793	752329	Rybník
48.6810382	14.4442256	752428	Pšenice
48.7021486	14.4322731	752527	Bujanov
48.7251811	14.4475390	752626	Omlenice
48.7325536	16.9625220	346957	Lanžhot
48.7377646	16.8671284	332155	Boří les
48.7427481	14.0868927	759225	Černá v Pošumaví
48.7477601	16.7429882	366559	Valtice
48.7485741	16.7622125	366757	Valtice město
48.7508152	16.8519292	356857	Poštorná
48.7521847	14.0441360	758623	Horní Planá zastávka
48.7539713	16.8932662	334250	Břeclav
48.7597748	16.8424466	356956	Charvátská Nová Ves
48.7638373	14.1009378	759324	Žlábek
48.7650577	14.0265624	759126	Horní Planá
48.7696648	14.9578871	736322	České Velenice
48.7714983	14.1828673	759720	Hořice na Šumavě
48.7744278	16.6992296	366658	Sedlec u Mikulova
48.7751404	14.4688272	752725	Kaplice
48.7788505	14.1042533	759423	Hodňov
48.7808577	16.0260818	362756	Šatov
48.7811007	16.8032944	347153	Lednice rybníky
48.7869570	16.9811794	339150	Hrušky zastávka
48.7885830	14.4730122	752824	Výheň
48.7887112	14.2404160	759829	Mezipotočí
48.7899072	13.9534565	758920	Nová Pec
48.7941142	16.8016836	347054	Lednice
48.7986248	14.1479747	759621	Polná na Šumavě
48.7994496	14.1203132	759522	Polečnice
48.7997435	17.0219136	349555	Moravská Nová Ves
48.8022487	16.6258751	348557	Mikulov na Moravě
48.8101688	16.3830268	339259	Hrušovany nad Jevišovkou-Šanov
48.8118766	14.9228467	736421	Nová Ves nad Lužnicí
48.8129061	16.5543024	348656	Březí
48.8130150	14.2654059	759928	Kájov
48.8131961	16.8808591	356154	Ladná
48.8198628	14.4366161	752923	Velešín
48.8199253	16.5337518	354357	Dobré Pole
48.8202885	16.4673214	354258	Jevišovka
48.8207730	16.0442426	362749	Znojmo-Nový Šaldorf
48.8222429	14.3172014	760025	Český Krumlov
48.8234057	16.2877289	332254	Božice u Znojma
48.8259270	16.4939528	354159	Novosedly
48.8279268	14.3347904	770123	Domoradice
48.8279350	17.0619916	348250	Lužice
48.8291176	14.3413054	760124	Přísečná
48.8294433	13.7939818	739524	Nové Údolí
48.8362561	14.4531082	753020	Velešín město
48.8373126	16.8537048	356055	Podivín
48.8413377	16.1643285	338251	Hodonice
48.8486962	16.3702296	334953	Pravice
48.8500433	16.1204605	338350	Dyje
48.8504082	14.3514248	760223	Zlatá Koruna
48.8516954	14.4477088	753129	Holkov
48.8526174	16.0590852	369553	Znojmo
48.8561564	17.1223321	338459	Hodonín
48.8588269	13.8207966	739425	Stožec
48.8606318	13.8609391	739326	Černý Kříž
48.8609525	17.5206840	371757	Javorník nad Veličkou zastávka
48.8641493	14.3509237	760322	Plešovice
48.8653182	16.0485732	348508	Znojmo nemocnice
48.8669808	16.8213363	356253	Rakvice
48.8695879	14.4195954	753228	Chlumec u Českých Budějovic
48.8717116	17.2433368	370858	Sudoměřice nad Moravou
48.8731455	16.3673242	334854	Břežany
48.8770814	13.8615858	739227	Dobrá na Šumavě
48.8788662	15.9773736	369652	Citonice
48.8789790	17.5109012	371450	Velká nad Veličkou
48.8790283	17.2737799	371054	Petrov u Strážnice
48.8832442	17.1784013	358853	Rohatec zastávka
48.8833391	14.3486394	760421	Třísov
